ID;iata;icao;airportDescription;location;country
cc6b7a6f-59d1-49b6-9f81-257a128866f8;ATQ;VIAR;Sri Guru Ram Dass Jee Intl Airport;Amritsar (Punjab);India
b41cd1e7-59ba-4d54-adf5-9161b90dbce5;ATR;GQPA;Atar;Atar;Mauritania
2989d10a-c62e-4a13-b081-984f7842a7a6;ATV;FTTI;Ati;Ati;Chad
ecd31ba9-0d9e-4afe-a220-7cb885af5615;ATW;KATW;Outagamie County Regional Airport;Appleton, Wisconsin;USA
45061997-4b74-47d2-a9f6-79934bb951b1;ATZ;HEAT;Asyut Intl Airport;Asyut;Egypt
2fd7c629-9c2a-41b4-a863-ea4bc4916fb2;AUA;TNCA;Queen Beatrix Intl Airport;Aruba;Aruba (Netherlands)
fdf58fcf-3cb0-4eb4-b152-937e93615677;AUC;SKUC;Santiago Perez;Arauca;Colombia
817a0312-ed1f-45dd-bea7-76d0694f64ce;AUC;LFDH;Auch - Lamothe Airport;Auch;France
7cb9829a-f3c7-460f-9f66-0cfa8c54255e;AUF;LFLA;Auxerre - Branches Airport;Auxerre;France
07dabb43-795c-462f-a33e-b0f7ecd26b18;AUH;OMAA;Abu Dhabi Intl;Abu Dhabi;United Arab Emirates
3a2ff3be-8edd-45e1-a048-edd76308991d;AUR;LFLW;Aurillac Airport;Aurillac;France
db96385e-1a2a-45d2-b776-db3021c193ba;AUS;KAUS;Austin-Bergstrom Intl Airport;Austin, Texas;USA
e6d22af9-362c-4753-bb27-edf8f0a58020;AVI;MUCA;Maximo Gomez Intl Airport;Ciego de Avila;Cuba
06e70685-4c96-4948-9cae-c930aa6ffca6;AVK;ZMAH;Arvaikheer;Arvaikheer;Mongolia
45c380b1-835a-4aa8-ae09-9f8e3ec91491;AVL;KAVL;Asheville Regional Airport;Asheville, North Carolina;USA
7c2b9759-abc1-44cd-b4db-0fc259457b35;AVN;LFMV;Avignon Airport;Avignon;France
0750072e-0473-4827-a8e9-af21f68f0982;AVP;KAVP;Wilkes-Barre/Scranton Intl Airport;Wilkes-Barre, Pennsylvania;USA
ae444439-4a05-4d30-9bd7-68340afd9145;AVV;YAVV;Avalon Airport;Avalon;Australia
375937a5-2166-413b-bc28-4a5952af21d1;AWA;HALA;Awasa;Awasa;Ethiopia
8e90c4a0-bbfb-4b85-8dd6-7dfbd2e03996;AWZ;OIAW;Ahwaz Airport;Ahwaz;Iran
